Day	Gigabases
2009-09-13	9.354796275
2009-09-14	93.20670795
2009-09-15	16.046241625
2009-09-16	57.930938248
2009-09-17	145.28527205
2009-09-18	69.8882064
2009-09-19	35.276800294
2009-09-21	46.20809755
2009-09-22	248.519392363
2009-09-23	52.25600305
2009-09-24	41.621716245
2009-09-25	189.375257008
2009-09-26	28.46001915
2009-09-28	38.844414
2009-09-29	182.316075833
2009-09-30	40.7214939
2009-10-01	21.839776182
2009-10-02	92.9296936
2009-10-03	42.716273366
2009-10-05	303.211849159
2009-10-06	165.526067025
2009-10-07	179.75608645
2009-10-08	59.28894135
2009-10-09	17.1570328
2009-10-10	1.83589965
2009-10-12	114.81095166
2009-10-13	3.68917222
2009-10-16	90.70250259
2009-10-17	4.06079955
2009-10-18	21.92121495
2009-10-20	56.505840672
2009-10-21	99.761887333
2009-10-22	48.62410985
2009-10-23	103.781114983
2009-10-24	20.37360105
2009-10-26	59.998331193
2009-10-27	13.34780475
2009-10-28	91.956385367
2009-10-29	209.0354076
2009-10-30	107.82259539
2009-10-31	16.5870105
2009-11-01	25.6427969
2009-11-02	64.64812115
2009-11-03	56.0445576
2009-11-04	64.118356846
2009-11-05	389.359462551
2009-11-06	201.73965841
2009-11-07	61.4237159
2009-11-09	342.52861255
2009-11-10	131.823290874
2009-11-11	36.09591855
2009-11-12	160.24985135
2009-11-13	13.5023703
2009-11-14	202.3353837
2009-11-15	5.29694905
2009-11-16	36.75242286
2009-11-17	130.75801577
2009-11-18	363.4687827
2009-11-19	135.88767765
2009-11-20	2.14146228
2009-11-21	24.47915985
2009-11-22	23.02506285
2009-11-23	43.3872984
2009-11-24	388.90356675
2009-11-25	65.27548244
2009-11-26	79.2960168
2009-11-30	393.014424075
2009-12-01	228.78905247
2009-12-02	8.43817737
2009-12-03	204.066143795
2009-12-04	241.3448051
2009-12-05	54.38210295
2009-12-06	26.6998716
2009-12-07	417.8924394
2009-12-08	85.3883815
2009-12-10	202.79572135
2009-12-11	227.4763992
2009-12-12	170.31845385
2009-12-14	141.510983275
2009-12-15	170.64039725
2009-12-16	24.3077229
2009-12-17	83.3470267
2009-12-18	48.1951965
2009-12-21	361.481965225
2009-12-22	298.06490185
2009-12-23	58.14636185
2009-12-24	121.70740485
2009-12-28	383.0151358
2009-12-29	501.97077405
2009-12-30	151.6168142
2010-01-02	36.351026
2010-01-04	270.90262225
2010-01-05	36.323428
2010-01-06	238.7027575
2010-01-07	109.8900797
2010-01-08	49.5240377
2010-01-09	70.1466798
2010-01-10	48.827301888
2010-01-11	67.65622785
2010-01-12	380.2844994
2010-01-13	281.47822865
2010-01-14	157.18558574
2010-01-15	63.46124625
2010-01-16	16.7814555
2010-01-18	7.8907482
2010-01-19	190.4190508
2010-01-20	570.4567454
2010-01-21	71.027880222
2010-01-22	161.3315692
2010-01-23	60.9834208
2010-01-25	77.860801816
2010-01-26	372.9663686
2010-01-27	160.8011514
2010-01-28	61.08805205
2010-01-29	184.7876119
2010-01-30	94.91680315
2010-02-01	276.52215495
2010-02-02	348.5449512
2010-02-03	126.110899
2010-02-05	18.724531325
2010-02-06	127.5963918
2010-02-07	13.4733892
2010-02-08	116.21658045
2010-02-09	589.4512686
2010-02-10	351.0331906
2010-02-11	236.3790908
2010-02-12	301.5430951
2010-02-13	21.0564114
2010-02-14	125.2809626
2010-02-15	161.828979005
2010-02-16	221.40477
2010-02-17	57.4735594
2010-02-18	224.5756712
2010-02-19	146.339192505
2010-02-20	158.704595
2010-02-22	10.976765
2010-02-23	848.8092914
2010-02-24	289.5431846
2010-02-25	33.0667342
2010-02-26	319.80064746
2010-02-27	193.1515831
2010-02-28	97.896779
2010-03-01	404.02765518
2010-03-02	335.0473686
2010-03-03	13.6741258
2010-03-04	.1175482
2010-03-05	51.2744468
2010-03-06	623.355848625
2010-03-07	46.731226755
2010-03-08	267.386365708
2010-03-09	250.5463166
2010-03-10	130.86233539
2010-03-11	82.920005
2010-03-12	131.86335838
2010-03-15	661.2152219
2010-03-16	554.52681905
2010-03-17	199.57990865
2010-03-18	149.63284145
2010-03-19	141.702519
2010-03-22	461.83938146
